BB,ER,ERA,G,H,HBP,HLD,HR,IP,L,R,SO,SV,W,WHIP,WPCT,team_filter,선수명,순위,팀명
51,37,6.36,65,44,4,9,5,52 1/3,4,38,39,0,2,1.82,0.333,KIA,최지민,20,KIA
31,24,6.68,35,39,1,1,5,32 1/3,1,29,35,1,1,2.16,0.500,KIA,한재승,21,KIA
17,35,6.85,26,59,5,1,11,46,3,38,31,0,0,1.65,0.000,KIA,김건국,22,KIA
31,35,7.94,10,41,3,0,6,39 2/3,4,37,42,0,1,1.82,0.200,KIA,이의리,23,KIA
9,14,8.59,13,21,2,0,0,14 2/3,0,14,7,0,1,2.05,1.000,KIA,이호민,24,KIA
10,23,9.0,21,32,0,1,7,23,0,24,17,0,1,1.83,1.000,KIA,김시훈,25,KIA
4,9,9.72,15,12,0,1,1,8 1/3,1,9,3,0,0,1.92,0.000,KIA,김대유,26,KIA
7,10,11.25,5,12,1,0,1,8,1,11,6,0,0,2.38,0.000,KIA,이도현,27,KIA
5,13,11.7,12,21,0,0,0,10,0,16,6,0,0,2.6,-,KIA,이형범,28,KIA
2,4,12.0,3,4,2,0,0,3,0,4,2,0,0,2.0,-,KIA,김민주,29,KIA
4,13,13.0,10,23,0,0,2,9,1,13,5,0,1,3.0,0.500,KIA,임기영,30,KIA
6,6,13.5,9,3,2,3,0,4,0,6,5,0,0,2.25,-,KIA,곽도규,31,KIA
1,2,18.0,2,0,1,0,0,1,0,2,0,0,0,1.0,-,KIA,김정엽,32,KIA
2,5,22.5,3,2,2,0,0,2,0,5,2,0,0,2.0,-,KIA,이성원,33,KIA
4,5,27.0,2,2,0,0,0,1 2/3,0,5,1,0,0,3.6,-,KIA,홍원빈,34,KIA
0,0,0.0,2,1,0,0,0,2,0,1,0,0,0,0.5,-,두산,김한중,1,두산
4,1,1.17,10,4,1,0,0,7 2/3,0,2,7,0,1,1.04,1.000,두산,이교훈,2,두산
39,55,2.83,29,145,17,0,8,175,8,66,154,0,10,1.05,0.556,두산,잭로그,3,두산
29,19,2.85,54,55,5,5,3,60,4,24,36,0,2,1.4,0.333,두산,박신지,4,두산
31,26,3.58,63,47,5,0,6,65 1/3,5,31,76,24,4,1.19,0.444,두산,김택연,5,두산
21,26,3.82,72,58,7,15,4,61 1/3,4,35,57,2,4,1.29,0.500,두산,박치국,6,두산
9,9,3.86,18,26,3,1,1,21,0,12,13,1,0,1.67,-,두산,김정우,7,두산
39,30,4.09,72,63,6,13,4,66,4,33,72,0,4,1.55,0.500,두산,이영하,8,두산
8,12,4.1,29,31,4,3,1,26 1/3,0,13,15,0,1,1.48,1.000,두산,박정수,9,두산
41,51,4.2,19,96,2,0,9,109 1/3,7,55,107,0,5,1.25,0.417,두산,곽빈,10,두산
8,11,4.24,19,19,0,0,3,23 1/3,0,11,19,1,0,1.16,-,두산,양재훈,11,두산
34,38,4.4,17,72,5,0,7,77 2/3,3,41,53,0,3,1.36,0.500,두산,최민석,12,두산
36,57,4.41,23,121,6,0,8,116 1/3,7,60,71,0,5,1.35,0.417,두산,최승용,13,두산
15,17,4.59,20,37,1,0,4,33 1/3,1,19,17,1,2,1.56,0.667,두산,홍민규,14,두산
76,72,4.65,27,140,18,0,9,139 1/3,12,80,125,0,7,1.55,0.368,두산,콜어빈,15,두산
6,5,4.66,7,9,4,0,1,9 2/3,1,5,6,0,1,1.55,0.500,두산,김민규,16,두산
38,56,4.71,47,105,4,9,18,107,7,59,62,0,4,1.34,0.364,두산,최원준,17,두산
12,9,4.96,6,17,1,0,2,16 1/3,1,10,8,0,0,1.78,0.000,두산,제환유,18,두산
3,5,5.4,8,13,1,0,0,8 1/3,0,8,6,0,0,1.92,-,두산,김명신,19,두산
3,1,5.4,3,1,0,0,0,1 2/3,0,1,5,0,0,2.4,-,두산,최종인,19,두산
15,11,6.19,20,18,0,0,2,16,1,13,15,0,2,2.06,0.667,두산,홍건희,21,두산
10,9,6.23,22,11,0,4,1,13,0,9,9,0,0,1.62,-,두산,이병헌,22,두산
13,23,6.34,39,41,2,5,3,32 2/3,5,25,38,0,2,1.65,0.286,두산,최지강,23,두산
7,8,6.75,19,14,0,1,2,10 2/3,1,11,7,0,0,1.97,0.000,두산,김호준,24,두산
5,13,6.75,10,16,0,1,2,17 1/3,1,14,16,0,0,1.21,0.000,두산,윤태호,24,두산
14,16,6.86,45,29,1,9,4,21,1,16,19,0,2,2.05,0.667,두산,고효준,26,두산
9,15,8.44,9,18,2,0,4,16,2,15,11,0,1,1.69,0.333,두산,최준호,27,두산
14,17,8.83,7,17,4,0,3,17 1/3,2,17,22,0,0,1.79,0.000,두산,김유성,28,두산
6,5,15.0,2,4,1,0,1,3,0,5,1,0,0,3.33,-,키움,손현기,26,키움
4,5,16.88,4,9,0,0,0,2 2/3,1,6,2,0,0,4.88,0.000,키움,정세영,27,키움
5,12,20.25,4,14,0,0,2,5 1/3,0,12,4,0,0,3.56,-,키움,김서준,28,키움
5,10,24.55,4,10,1,0,0,3 2/3,0,11,3,0,0,4.09,-,키움,임진묵,29,키움
17,12,2.45,42,35,2,5,7,44,2,13,35,16,2,1.18,0.500,키움,주승우,1,키움
9,40,3.13,18,118,4,0,10,115,3,46,86,0,8,1.1,0.727,키움,알칸타라,2,키움
6,7,3.15,4,18,1,0,0,20,1,8,16,0,1,1.2,0.500,키움,웰스,3,키움
25,27,3.23,13,63,4,0,5,75 1/3,4,33,80,0,4,1.17,0.500,키움,로젠버그,4,키움
27,24,3.77,52,52,7,7,4,57 1/3,1,24,44,0,2,1.38,0.667,키움,오석주,5,키움
9,23,4.47,8,54,0,0,5,46 1/3,3,24,41,0,3,1.36,0.500,키움,메르세데스,6,키움
19,26,4.53,54,55,1,6,9,51 2/3,5,31,40,1,0,1.43,0.000,키움,박윤성,7,키움
13,13,4.68,29,25,5,1,1,25,3,15,18,0,0,1.52,0.000,키움,김성민,8,키움
41,85,4.99,28,169,9,0,13,153 1/3,14,90,134,0,7,1.37,0.333,키움,하영민,9,키움
47,49,5.65,44,96,11,2,6,78,7,55,43,0,1,1.83,0.125,키움,김선기,10,키움
12,23,5.7,36,40,1,8,3,36 1/3,1,23,27,0,1,1.43,0.500,키움,윤석원,11,키움
37,49,5.75,50,84,4,7,12,76 2/3,5,51,47,8,5,1.58,0.500,키움,조영건,12,키움
48,53,5.86,18,92,6,0,8,81 1/3,7,63,55,0,3,1.72,0.300,키움,정현우,13,키움
18,37,6.13,61,68,3,11,5,54 1/3,4,42,40,5,2,1.58,0.333,키움,원종현,14,키움
44,60,6.14,19,113,3,0,16,88,12,76,52,0,0,1.78,0.000,키움,김윤하,15,키움
17,18,6.57,29,29,2,2,3,24 2/3,3,22,26,0,0,1.86,0.000,키움,이강준,16,키움
16,38,6.58,18,63,3,1,9,52,3,40,26,0,2,1.52,0.400,키움,박주성,17,키움
25,38,6.62,20,67,6,0,10,51 2/3,3,40,28,0,1,1.78,0.250,키움,김연주,18,키움
11,6,6.75,9,13,0,0,2,8,0,11,10,0,0,3.0,-,키움,김동규,19,키움
20,19,7.43,16,24,4,0,1,23,1,24,7,1,0,1.91,0.000,키움,박정훈,20,키움
7,13,8.36,18,18,3,1,3,14,2,13,10,0,0,1.79,0.000,키움,양지율,21,키움
23,21,8.59,17,31,5,0,2,22,1,28,15,0,2,2.45,0.667,키움,윤현,22,키움
12,22,8.61,31,37,1,3,6,23,4,23,22,0,1,2.13,0.200,키움,이준우,23,키움
19,20,8.85,21,33,3,1,2,20 1/3,2,22,15,0,2,2.56,0.500,키움,전준표,24,키움
4,5,11.25,4,5,1,0,0,4,0,5,4,0,0,2.25,-,키움,손힘찬,25,키움
